cluster_label,source_row_index,source_material_id,source_formula_pretty_x,neighbor_row_index,neighbor_material_id,neighbor_formula_pretty,similarity_distance,similarity_rank_within_source,similarity_distance_percentile,similarity_level,source_formula_pretty_y,source_cost,source_unit,source_year,source_cost_class,source_cost_rank_within_cluster,neighbor_formula_pretty_verified,neighbor_cost,neighbor_unit,neighbor_year,neighbor_cost_class,neighbor_cost_rank_within_cluster,cost_difference,cost_saving,is_lower_cost_alternative
1,421,mp-607454,AlC3(NCl2)3,229,mp-559602,AgSb(S8F3)2,0.6211712325023909,2,0.4,moderate_similarity,AlC3(NCl2)3,2631.69583333333,($/mt),2025.0,medium_cost,5,AgSb(S8F3)2,39.80466666667,($/troy oz),2025.0,low_cost,1,-2591.89116666666,2591.89116666666,True
4,21698,mp-614777,NiF3,7471,mp-1229,CuF2,0.2175847013942398,1,0.2,high_similarity,NiF3,15162.1583333333,($/mt),2025.0,high_cost,9,CuF2,9947.305,($/mt),2025.0,medium_cost,8,-5214.8533333333,5214.8533333333,True
4,7440,mp-624299,Cu7S4,263,mp-17880,Al13Ru4,0.5994137362052507,3,0.6,moderate_similarity,Cu7S4,9947.305,($/mt),2025.0,medium_cost,8,Al13Ru4,2631.69583333333,($/mt),2025.0,low_cost,5,-7315.609166666671,7315.609166666671,True
2,33131,mp-6278,Zn2Cu(AsO4)2,220,mp-1214944,AgRh(SO4)2,0.4744462446537561,3,0.6,moderate_similarity,Zn2Cu(AsO4)2,2867.52833333333,($/mt),2025.0,medium_cost,6,AgRh(SO4)2,39.80466666667,($/troy oz),2025.0,low_cost,1,-2827.72366666666,2827.72366666666,True
1,7454,mp-628643,CuAsPbS3,148,mp-568540,Ag5Hg4P8Cl5,0.3355392109133578,1,0.2,high_similarity,CuAsPbS3,9947.305,($/mt),2025.0,high_cost,8,Ag5Hg4P8Cl5,39.80466666667,($/troy oz),2025.0,low_cost,1,-9907.50033333333,9907.50033333333,True
1,7454,mp-628643,CuAsPbS3,170,mp-22665,AgAsPbS3,0.4006379851836777,2,0.4,moderate_similarity,CuAsPbS3,9947.305,($/mt),2025.0,high_cost,8,AgAsPbS3,39.80466666667,($/troy oz),2025.0,low_cost,1,-9907.50033333333,9907.50033333333,True
4,7358,mp-640926,Cu(NO3)2,682,mp-560745,AuN5O14,0.2749490406725333,1,0.2,high_similarity,Cu(NO3)2,9947.305,($/mt),2025.0,medium_cost,8,AuN5O14,3441.50583333333,($/troy oz),2025.0,medium_cost,7,-6505.79916666667,6505.79916666667,True
4,21710,mp-643570,NiH2SO5,7476,mp-24242,CuHOF,0.4095677681568765,1,0.2,high_similarity,NiH2SO5,15162.1583333333,($/mt),2025.0,high_cost,9,CuHOF,9947.305,($/mt),2025.0,medium_cost,8,-5214.8533333333,5214.8533333333,True
2,26790,mp-643902,SnH4(NF)2,33271,mp-23969,ZnH2SeO5,0.5404460064754761,2,0.4,moderate_similarity,SnH4(NF)2,34058.8358333333,($/mt),2025.0,high_cost,10,ZnH2SeO5,2867.52833333333,($/mt),2025.0,medium_cost,6,-31191.307499999974,31191.307499999974,True
3,7505,mp-644311,CuPt,33281,mp-1206819,ZnIr,0.1393162013465165,1,0.2,high_similarity,CuPt,9947.305,($/mt),2025.0,high_cost,8,ZnIr,2867.52833333333,($/mt),2025.0,medium_cost,6,-7079.77666666667,7079.77666666667,True
2,21650,mp-651726,Ni3P4PbO14,33296,mp-17924,ZnP2PbO7,0.3394902661685507,1,0.2,high_similarity,Ni3P4PbO14,15162.1583333333,($/mt),2025.0,high_cost,9,ZnP2PbO7,2867.52833333333,($/mt),2025.0,medium_cost,6,-12294.62999999997,12294.62999999997,True
4,21648,mp-656887,Ni3O4,7487,mp-1692,CuO,0.4692325601964771,2,0.4,moderate_similarity,Ni3O4,15162.1583333333,($/mt),2025.0,high_cost,9,CuO,9947.305,($/mt),2025.0,medium_cost,8,-5214.8533333333,5214.8533333333,True
4,21659,mp-669720,Ni3Sn2,21931,mp-505363,P3Pd7,0.2179306626233288,2,0.4,moderate_similarity,Ni3Sn2,15162.1583333333,($/mt),2025.0,high_cost,9,P3Pd7,152.5,($/mt),2025.0,low_cost,2,-15009.6583333333,15009.6583333333,True
4,7421,mp-672265,Cu3Pd,33114,mp-30747,Zn11Ir2,0.3504933606431546,1,0.2,high_similarity,Cu3Pd,9947.305,($/mt),2025.0,medium_cost,8,Zn11Ir2,2867.52833333333,($/mt),2025.0,medium_cost,6,-7079.77666666667,7079.77666666667,True
0,21611,mp-683937,Ni13Sn8P3,270,mp-1215020,Al2(Zn13Pd3)3,0.3884627846234124,1,0.2,high_similarity,Ni13Sn8P3,15162.1583333333,($/mt),2025.0,high_cost,8,Al2(Zn13Pd3)3,2631.69583333333,($/mt),2025.0,low_cost,4,-12530.46249999997,12530.46249999997,True
1,26833,mp-691,SnSe,675,mp-541656,AuCl2,0.4455665751884204,2,0.4,moderate_similarity,SnSe,34058.8358333333,($/mt),2025.0,high_cost,10,AuCl2,3441.50583333333,($/troy oz),2025.0,high_cost,7,-30617.329999999973,30617.329999999973,True
2,476,mp-696815,AlH4NF4,21969,mp-722832,PH3NF5,0.3780935790672804,3,0.6,moderate_similarity,AlH4NF4,2631.69583333333,($/mt),2025.0,low_cost,5,PH3NF5,152.5,($/mt),2025.0,low_cost,2,-2479.19583333333,2479.19583333333,True
4,21674,mp-704879,Ni5Te4(BrO6)2,7432,mp-1201155,Cu5Se4(ClO6)2,0.4283524778080712,1,0.2,high_similarity,Ni5Te4(BrO6)2,15162.1583333333,($/mt),2025.0,high_cost,9,Cu5Se4(ClO6)2,9947.305,($/mt),2025.0,medium_cost,8,-5214.8533333333,5214.8533333333,True
4,21674,mp-704879,Ni5Te4(BrO6)2,33254,mp-558345,ZnFe2(SeO3)4,0.6214414161472449,3,0.6,moderate_similarity,Ni5Te4(BrO6)2,15162.1583333333,($/mt),2025.0,high_cost,9,ZnFe2(SeO3)4,2867.52833333333,($/mt),2025.0,medium_cost,6,-12294.62999999997,12294.62999999997,True
0,33236,mp-706995,ZnCoH18N6Cl5,21966,mp-1198119,PH10S3N2O,0.6329853414156354,2,0.4,moderate_similarity,ZnCoH18N6Cl5,2867.52833333333,($/mt),2025.0,medium_cost,5,PH10S3N2O,152.5,($/mt),2025.0,low_cost,2,-2715.02833333333,2715.02833333333,True
